Tissue_cell_type_name	Developmental_stage	Organ_system	Specific_tissue_name	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID
TS_Thymus_capillary endothelial cell	Adult	Lymphatic system	TS_Thymus	capillary endothelial cell	Capillary endothelial cell	CL:0002144	Thymus	UBERON:0002370
TS_Thymus_cd4-positive helper t cell	Adult	Lymphatic system	TS_Thymus	cd4-positive helper t cell	T cell	CL:0000084	Thymus	UBERON:0002370
TS_Thymus_cd8-positive, alpha-beta cytotoxic t cell	Adult	Lymphatic system	TS_Thymus	cd8-positive, alpha-beta cytotoxic t cell	T cell	CL:0000084	Thymus	UBERON:0002370
TS_Thymus_cd8-positive, alpha-beta t cell	Adult	Lymphatic system	TS_Thymus	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Thymus	UBERON:0002370
TS_Thymus_dendritic cell	Adult	Lymphatic system	TS_Thymus	dendritic cell	Dendritic cell	CL:0000451	Thymus	UBERON:0002370
TS_Thymus_dn1 thymic pro-t cell	Adult	Lymphatic system	TS_Thymus	dn1 thymic pro-t cell	T cell	CL:0000084	Thymus	UBERON:0002370
TS_Thymus_dn3 thymocyte	Adult	Lymphatic system	TS_Thymus	dn3 thymocyte	Thymocyte	CL:0000893	Thymus	UBERON:0002370
TS_Thymus_dn4 thymocyte	Adult	Lymphatic system	TS_Thymus	dn4 thymocyte	Thymocyte	CL:0000893	Thymus	UBERON:0002370
TS_Thymus_endothelial cell of artery	Adult	Lymphatic system	TS_Thymus	endothelial cell of artery	Endothelial cell	CL:0000115	Thymus	UBERON:0002370
TS_Thymus_endothelial cell of lymphatic vessel	Adult	Lymphatic system	TS_Thymus	endothelial cell of lymphatic vessel	Endothelial cell	CL:0000115	Thymus	UBERON:0002370
TS_Thymus_erythrocyte	Adult	Lymphatic system	TS_Thymus	erythrocyte	Erythrocyte	CL:0000232	Thymus	UBERON:0002370
TS_Thymus_fast muscle cell	Adult	Lymphatic system	TS_Thymus	fast muscle cell	Cell of skeletal muscle	CL:0000188	Thymus	UBERON:0002370
TS_Thymus_fibroblast	Adult	Lymphatic system	TS_Thymus	fibroblast	Fibroblast	CL:0000057	Thymus	UBERON:0002370
TS_Thymus_immature natural killer cell	Adult	Lymphatic system	TS_Thymus	immature natural killer cell	Natural killer cell	CL:0000623	Thymus	UBERON:0002370
TS_Thymus_innate lymphoid cell	Adult	Lymphatic system	TS_Thymus	innate lymphoid cell	Innate lymphoid cell	CL:0001065	Thymus	UBERON:0002370
TS_Thymus_macrophage	Adult	Lymphatic system	TS_Thymus	macrophage	Macrophage	CL:0000235	Thymus	UBERON:0002370
TS_Thymus_mature nk t cell	Adult	Lymphatic system	TS_Thymus	mature nk t cell	Natural killer cell	CL:0000623	Thymus	UBERON:0002370
TS_Thymus_medullary thymic epithelial cell	Adult	Lymphatic system	TS_Thymus	medullary thymic epithelial cell	Epithelial cell	CL:0000066	Thymus	UBERON:0002370
TS_Thymus_memory b cell	Adult	Lymphatic system	TS_Thymus	memory b cell	B cell	CL:0000236	Thymus	UBERON:0002370
TS_Thymus_monocyte	Adult	Lymphatic system	TS_Thymus	monocyte	Monocyte	CL:0000576	Thymus	UBERON:0002370
TS_Thymus_naive b cell	Adult	Lymphatic system	TS_Thymus	naive b cell	B cell	CL:0000236	Thymus	UBERON:0002370
TS_Thymus_naive regulatory t cell	Adult	Lymphatic system	TS_Thymus	naive regulatory t cell	T cell	CL:0000084	Thymus	UBERON:0002370
TS_Thymus_nk cell	Adult	Lymphatic system	TS_Thymus	nk cell	Natural killer cell	CL:0000623	Thymus	UBERON:0002370
TS_Thymus_plasma cell	Adult	Lymphatic system	TS_Thymus	plasma cell	Plasma cell	CL:0000786	Thymus	UBERON:0002370
TS_Thymus_t follicular helper cell	Adult	Lymphatic system	TS_Thymus	t follicular helper cell	T cell	CL:0000084	Thymus	UBERON:0002370
TS_Thymus_thymocyte	Adult	Lymphatic system	TS_Thymus	thymocyte	Thymocyte	CL:0000893	Thymus	UBERON:0002370
TS_Thymus_vascular associated smooth muscle cell	Adult	Lymphatic system	TS_Thymus	vascular associated smooth muscle cell	Smooth muscle cell	CL:0000192	Thymus	UBERON:0002370
TS_Thymus_vein endothelial cell	Adult	Lymphatic system	TS_Thymus	vein endothelial cell	Endothelial cell	CL:0000115	Thymus	UBERON:0002370
TS_Tongue_basal cell	Adult	Digestive system	TS_Tongue	basal cell	Basal cell	CL:0000646	Tongue	UBERON:0001723
TS_Tongue_capillary endothelial cell	Adult	Digestive system	TS_Tongue	capillary endothelial cell	Capillary endothelial cell	CL:0002144	Tongue	UBERON:0001723
TS_Tongue_endothelial cell of artery	Adult	Digestive system	TS_Tongue	endothelial cell of artery	Endothelial cell	CL:0000115	Tongue	UBERON:0001723
TS_Tongue_endothelial cell of lymphatic vessel	Adult	Digestive system	TS_Tongue	endothelial cell of lymphatic vessel	Endothelial cell	CL:0000115	Tongue	UBERON:0001723
TS_Tongue_epithelial cell	Adult	Digestive system	TS_Tongue	epithelial cell	Epithelial cell	CL:0000066	Tongue	UBERON:0001723
TS_Tongue_fibroblast	Adult	Digestive system	TS_Tongue	fibroblast	Fibroblast	CL:0000057	Tongue	UBERON:0001723
TS_Tongue_immune cell	Adult	Digestive system	TS_Tongue	immune cell	Immune cell	NA	Tongue	UBERON:0001723
TS_Tongue_keratinocyte	Adult	Digestive system	TS_Tongue	keratinocyte	Keratinocyte	CL:0000312	Tongue	UBERON:0001723
TS_Tongue_pericyte cell	Adult	Digestive system	TS_Tongue	pericyte cell	Pericyte cell	CL:0000669	Tongue	UBERON:0001723
TS_Tongue_tongue muscle cell	Adult	Digestive system	TS_Tongue	tongue muscle cell	Muscle cell	CL:0000187	Tongue	UBERON:0001723
TS_Tongue_vein endothelial cell	Adult	Digestive system	TS_Tongue	vein endothelial cell	Endothelial cell	CL:0000115	Tongue	UBERON:0001723
TS_Trachea_b cell	Adult	Respiratory system	TS_Trachea	b cell	B cell	CL:0000236	Trachea	UBERON:0003126
TS_Trachea_basal cell	Adult	Respiratory system	TS_Trachea	basal cell	Basal cell	CL:0000646	Trachea	UBERON:0003126
TS_Trachea_cd4-positive, alpha-beta t cell	Adult	Respiratory system	TS_Trachea	cd4-positive, alpha-beta t cell	T cell	CL:0000084	Trachea	UBERON:0003126
TS_Trachea_cd8-positive, alpha-beta t cell	Adult	Respiratory system	TS_Trachea	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Trachea	UBERON:0003126
TS_Trachea_ciliated cell	Adult	Respiratory system	TS_Trachea	ciliated cell	Ciliated cell	CL:0000064	Trachea	UBERON:0003126
TS_Trachea_connective tissue cell	Adult	Respiratory system	TS_Trachea	connective tissue cell	Connective tissue cell	CL:0002320	Trachea	UBERON:0003126
TS_Trachea_endothelial cell	Adult	Respiratory system	TS_Trachea	endothelial cell	Endothelial cell	CL:0000115	Trachea	UBERON:0003126
TS_Trachea_fibroblast	Adult	Respiratory system	TS_Trachea	fibroblast	Fibroblast	CL:0000057	Trachea	UBERON:0003126
TS_Trachea_goblet cell	Adult	Respiratory system	TS_Trachea	goblet cell	Goblet cell	CL:0000160	Trachea	UBERON:0003126
TS_Trachea_macrophage	Adult	Respiratory system	TS_Trachea	macrophage	Macrophage	CL:0000235	Trachea	UBERON:0003126
TS_Trachea_mast cell	Adult	Respiratory system	TS_Trachea	mast cell	Mast cell	CL:0000097	Trachea	UBERON:0003126
TS_Trachea_mucus secreting cell	Adult	Respiratory system	TS_Trachea	mucus secreting cell	Mucus secreting cell	CL:0000319	Trachea	UBERON:0003126
TS_Trachea_neutrophil	Adult	Respiratory system	TS_Trachea	neutrophil	Neutrophil	CL:0000775	Trachea	UBERON:0003126
TS_Trachea_plasma cell	Adult	Respiratory system	TS_Trachea	plasma cell	Plasma cell	CL:0000786	Trachea	UBERON:0003126
TS_Trachea_secretory cell	Adult	Respiratory system	TS_Trachea	secretory cell	Endocrine cell	CL:0000163	Trachea	UBERON:0003126
TS_Trachea_serous cell of epithelium of trachea	Adult	Respiratory system	TS_Trachea	serous cell of epithelium of trachea	Serous cell of epithelium of trachea	CL:1000330	Trachea	UBERON:0003126
TS_Trachea_smooth muscle cell	Adult	Respiratory system	TS_Trachea	smooth muscle cell	Smooth muscle cell	CL:0000192	Trachea	UBERON:0003126
TS_Trachea_t cell	Adult	Respiratory system	TS_Trachea	t cell	T cell	CL:0000084	Trachea	UBERON:0003126
TS_Trachea_tracheal goblet cell	Adult	Respiratory system	TS_Trachea	tracheal goblet cell	Goblet cell	CL:0000160	Trachea	UBERON:0003126
TS_Uterus_ciliated epithelial cell	Adult	Reproductive system	TS_Uterus	ciliated epithelial cell	Ciliated cell	CL:0000064	Uterus	UBERON:0000995
TS_Uterus_endothelial cell	Adult	Reproductive system	TS_Uterus	endothelial cell	Endothelial cell	CL:0000115	Uterus	UBERON:0000995
TS_Uterus_endothelial cell of lymphatic vessel	Adult	Reproductive system	TS_Uterus	endothelial cell of lymphatic vessel	Endothelial cell	CL:0000115	Uterus	UBERON:0000995
TS_Uterus_epithelial cell	Adult	Reproductive system	TS_Uterus	epithelial cell	Epithelial cell	CL:0000066	Uterus	UBERON:0000995
TS_Uterus_epithelial cell of uterus	Adult	Reproductive system	TS_Uterus	epithelial cell of uterus	Epithelial cell	CL:0000066	Uterus	UBERON:0000995
TS_Uterus_fibroblast	Adult	Reproductive system	TS_Uterus	fibroblast	Fibroblast	CL:0000057	Uterus	UBERON:0000995
TS_Uterus_macrophage	Adult	Reproductive system	TS_Uterus	macrophage	Macrophage	CL:0000235	Uterus	UBERON:0000995
TS_Uterus_myometrial cell	Adult	Reproductive system	TS_Uterus	myometrial cell	Myometrial cell	CL:0002366	Uterus	UBERON:0000995
TS_Uterus_nk cell	Adult	Reproductive system	TS_Uterus	nk cell	Natural killer cell	CL:0000623	Uterus	UBERON:0000995
TS_Uterus_pericyte cell	Adult	Reproductive system	TS_Uterus	pericyte cell	Pericyte cell	CL:0000669	Uterus	UBERON:0000995
TS_Uterus_t cell	Adult	Reproductive system	TS_Uterus	t cell	T cell	CL:0000084	Uterus	UBERON:0000995
TS_Uterus_vascular associated smooth muscle cell	Adult	Reproductive system	TS_Uterus	vascular associated smooth muscle cell	Smooth muscle cell	CL:0000192	Uterus	UBERON:0000995
TS_Vasculature_artery endothelial cell	Adult	Cardiovascular system	TS_Vasculature	artery endothelial cell	Endothelial cell	CL:0000115	Vasculature	UBERON:0002049
TS_Vasculature_endothelial cell	Adult	Cardiovascular system	TS_Vasculature	endothelial cell	Endothelial cell	CL:0000115	Vasculature	UBERON:0002049
TS_Vasculature_erythrocyte	Adult	Cardiovascular system	TS_Vasculature	erythrocyte	Erythrocyte	CL:0000232	Vasculature	UBERON:0002049
TS_Vasculature_fibroblast	Adult	Cardiovascular system	TS_Vasculature	fibroblast	Fibroblast	CL:0000057	Vasculature	UBERON:0002049
TS_Vasculature_lymphatic endothelial cells	Adult	Cardiovascular system	TS_Vasculature	lymphatic endothelial cells	Endothelial cell	CL:0000115	Vasculature	UBERON:0002049
TS_Vasculature_macrophage	Adult	Cardiovascular system	TS_Vasculature	macrophage	Macrophage	CL:0000235	Vasculature	UBERON:0002049
TS_Vasculature_mast cell	Adult	Cardiovascular system	TS_Vasculature	mast cell	Mast cell	CL:0000097	Vasculature	UBERON:0002049
TS_Vasculature_nk cell	Adult	Cardiovascular system	TS_Vasculature	nk cell	Natural killer cell	CL:0000623	Vasculature	UBERON:0002049
TS_Vasculature_pericyte cell	Adult	Cardiovascular system	TS_Vasculature	pericyte cell	Pericyte cell	CL:0000669	Vasculature	UBERON:0002049
TS_Vasculature_plasma cell	Adult	Cardiovascular system	TS_Vasculature	plasma cell	Plasma cell	CL:0000786	Vasculature	UBERON:0002049
TS_Vasculature_smooth muscle cell	Adult	Cardiovascular system	TS_Vasculature	smooth muscle cell	Smooth muscle cell	CL:0000192	Vasculature	UBERON:0002049
TS_Vasculature_t cell	Adult	Cardiovascular system	TS_Vasculature	t cell	T cell	CL:0000084	Vasculature	UBERON:0002049
TS_Vasculature_vein or capillary endothelial cell	Adult	Cardiovascular system	TS_Vasculature	vein or capillary endothelial cell	Capillary endothelial cell	CL:0002144	Vasculature	UBERON:0002049
van_Zyl_eye_2020_BCell	Adult	Sensory system	van_Zyl_eye_2020	BCell	B cell	CL:0000236	Eye	UBERON:0000970
van_Zyl_eye_2020_BeamCella	Adult	Sensory system	van_Zyl_eye_2020	BeamCella	Beam A cell	NA	Eye	UBERON:0000970
van_Zyl_eye_2020_BeamCellb	Adult	Sensory system	van_Zyl_eye_2020	BeamCellb	Beam B cell	NA	Eye	UBERON:0000970
van_Zyl_eye_2020_CiliaryMuscle	Adult	Sensory system	van_Zyl_eye_2020	CiliaryMuscle	Muscle cell	CL:0000187	Eye	UBERON:0000970
van_Zyl_eye_2020_CollectorChnlAqVein	Adult	Sensory system	van_Zyl_eye_2020	CollectorChnlAqVein	Smooth muscle cell	CL:0000192	Eye	UBERON:0000970
van_Zyl_eye_2020_CornealEpi	Adult	Sensory system	van_Zyl_eye_2020	CornealEpi	Epithelial cell	CL:0000066	Eye	UBERON:0000970
van_Zyl_eye_2020_CribiformJCT	Adult	Sensory system	van_Zyl_eye_2020	CribiformJCT	Trabecular meshwork cell	CL:0002367	Eye	UBERON:0000970
van_Zyl_eye_2020_Fibroblast	Adult	Sensory system	van_Zyl_eye_2020	Fibroblast	Fibroblast	CL:0000057	Eye	UBERON:0000970
van_Zyl_eye_2020_Macrophage	Adult	Sensory system	van_Zyl_eye_2020	Macrophage	Macrophage	CL:0000235	Eye	UBERON:0000970
van_Zyl_eye_2020_MastCell	Adult	Sensory system	van_Zyl_eye_2020	MastCell	Mast cell	CL:0000097	Eye	UBERON:0000970
van_Zyl_eye_2020_Melanocyte	Adult	Sensory system	van_Zyl_eye_2020	Melanocyte	Melanocyte	CL:0000148	Eye	UBERON:0000970
van_Zyl_eye_2020_NKT	Adult	Sensory system	van_Zyl_eye_2020	NKT	Natural killer cell	CL:0000623	Eye	UBERON:0000970
van_Zyl_eye_2020_Pericyte	Adult	Sensory system	van_Zyl_eye_2020	Pericyte	Pericyte cell	CL:0000669	Eye	UBERON:0000970
van_Zyl_eye_2020_ScEndo	Adult	Sensory system	van_Zyl_eye_2020	ScEndo	Endothelial cell	CL:0000115	Eye	UBERON:0000970
van_Zyl_eye_2020_SchwalbeLine	Adult	Sensory system	van_Zyl_eye_2020	SchwalbeLine	Schwalbe line	NA	Eye	UBERON:0000970
van_Zyl_eye_2020_SchwannCell-my	Adult	Sensory system	van_Zyl_eye_2020	SchwannCell-my	Schwann cell	CL:0002573	Eye	UBERON:0000970
van_Zyl_eye_2020_SchwannCell-nmy	Adult	Sensory system	van_Zyl_eye_2020	SchwannCell-nmy	Schwann cell	CL:0002573	Eye	UBERON:0000970
van_Zyl_eye_2020_VascularEndo	Adult	Sensory system	van_Zyl_eye_2020	VascularEndo	Endothelial cell	CL:0000115	Eye	UBERON:0000970
VentoTormo_2018_decidua_CD16-negative natural killer cell (NK CD16-)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	CD16-negative natural killer cell (NK CD16-)	Natural killer cell	CL:0000623	Decidua	UBERON:0002450
VentoTormo_2018_decidua_CD16-positive natural killer cell (NK CD16+)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	CD16-positive natural killer cell (NK CD16+)	Natural killer cell	CL:0000623	Decidua	UBERON:0002450
VentoTormo_2018_decidua_conventional dendritic cell (DC1)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	conventional dendritic cell (DC1)	Dendritic cell	CL:0000451	Decidua	UBERON:0002450
VentoTormo_2018_decidua_decidual macrophage (dM1)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	decidual macrophage (dM1)	Macrophage	CL:0000235	Decidua	UBERON:0002450
VentoTormo_2018_decidua_decidual macrophage (dM2)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	decidual macrophage (dM2)	Macrophage	CL:0000235	Decidua	UBERON:0002450
VentoTormo_2018_decidua_decidual natural killer cell (dNK1)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	decidual natural killer cell (dNK1)	Natural killer cell	CL:0000623	Decidua	UBERON:0002450
VentoTormo_2018_decidua_decidual natural killer cell (dNK2)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	decidual natural killer cell (dNK2)	Natural killer cell	CL:0000623	Decidua	UBERON:0002450
VentoTormo_2018_decidua_decidual natural killer cell (dNK3)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	decidual natural killer cell (dNK3)	Natural killer cell	CL:0000623	Decidua	UBERON:0002450
VentoTormo_2018_decidua_decidual perivascular cell (dP1)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	decidual perivascular cell (dP1)	Pericyte cell	CL:0000669	Decidua	UBERON:0002450
VentoTormo_2018_decidua_decidual perivascular cell (dP2)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	decidual perivascular cell (dP2)	Pericyte cell	CL:0000669	Decidua	UBERON:0002450
VentoTormo_2018_decidua_decidual stromal cell (dS1)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	decidual stromal cell (dS1)	Stromal cell	CL:0000499	Decidua	UBERON:0002450
VentoTormo_2018_decidua_decidual stromal cell (dS2)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	decidual stromal cell (dS2)	Stromal cell	CL:0000499	Decidua	UBERON:0002450
VentoTormo_2018_decidua_decidual stromal cell (dS3)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	decidual stromal cell (dS3)	Stromal cell	CL:0000499	Decidua	UBERON:0002450
VentoTormo_2018_decidua_glandular epithelial cell (Epi2)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	glandular epithelial cell (Epi2)	Epithelial cell	CL:0000066	Decidua	UBERON:0002450
VentoTormo_2018_decidua_Hofbauer cell (HB)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	Hofbauer cell (HB)	Hofbauer cell	CL:3000001	Decidua	UBERON:0002450
VentoTormo_2018_decidua_innate lymphoid cell (ILC3)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	innate lymphoid cell (ILC3)	Innate lymphoid cell	CL:0001065	Decidua	UBERON:0002450
VentoTormo_2018_decidua_maternal endothelial cell (Endo m)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	maternal endothelial cell (Endo m)	Endothelial cell	CL:0000115	Decidua	UBERON:0002450
VentoTormo_2018_decidua_monocyte	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	monocyte	Monocyte	CL:0000576	Decidua	UBERON:0002450
VentoTormo_2018_decidua_placental extravillous trophoblast cell (EVT)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	placental extravillous trophoblast cell (EVT)	Trophoblast cell	CL:0000351	Decidua	UBERON:0002450
VentoTormo_2018_decidua_plasmacytoid dendritic cell (DC2)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	plasmacytoid dendritic cell (DC2)	Plasmacytoid dendritic cell	CL:0000784	Decidua	UBERON:0002450
VentoTormo_2018_decidua_proliferating decidual natural killer cell (dNK p)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	proliferating decidual natural killer cell (dNK p)	Natural killer cell	CL:0000623	Decidua	UBERON:0002450
VentoTormo_2018_decidua_T cell	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	T cell	T cell	CL:0000084	Decidua	UBERON:0002450
VentoTormo_2018_decidua_villous cytotrophoblast (VCT)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	villous cytotrophoblast (VCT)	Trophoblast cell	CL:0000351	Decidua	UBERON:0002450
Voigt_2019_retina_1_B cell	Adult	Sensory system	Voigt_2019_retina_1	B cell	B cell	CL:0000236	Retina	UBERON:0000966
Voigt_2019_retina_1_Endothelial cell	Adult	Sensory system	Voigt_2019_retina_1	Endothelial cell	Endothelial cell	CL:0000115	Retina	UBERON:0000966
Voigt_2019_retina_1_Fibroblast	Adult	Sensory system	Voigt_2019_retina_1	Fibroblast	Fibroblast	CL:0000057	Retina	UBERON:0000966
Voigt_2019_retina_1_Macrophage	Adult	Sensory system	Voigt_2019_retina_1	Macrophage	Macrophage	CL:0000235	Retina	UBERON:0000966
Voigt_2019_retina_1_Mast cell	Adult	Sensory system	Voigt_2019_retina_1	Mast cell	Mast cell	CL:0000097	Retina	UBERON:0000966
Voigt_2019_retina_1_Melanocyte	Adult	Sensory system	Voigt_2019_retina_1	Melanocyte	Melanocyte	CL:0000148	Retina	UBERON:0000966
Voigt_2019_retina_1_Pericyte	Adult	Sensory system	Voigt_2019_retina_1	Pericyte	Pericyte cell	CL:0000669	Retina	UBERON:0000966
Voigt_2019_retina_1_Retinal pigment epithelium	Adult	Sensory system	Voigt_2019_retina_1	Retinal pigment epithelium	Retinal pigment epithelial cell	CL:0002586	Retina	UBERON:0000966
Voigt_2019_retina_1_Schwann cell 2	Adult	Sensory system	Voigt_2019_retina_1	Schwann cell 2	Schwann cell	CL:0002573	Retina	UBERON:0000966
Voigt_2019_retina_1_T/NK cell	Adult	Sensory system	Voigt_2019_retina_1	T/NK cell	T cell	CL:0000084	Retina	UBERON:0000966
Voigt_2019_retina_2_Artery	Adult	Sensory system	Voigt_2019_retina_2	Artery	Endothelial cell	CL:0000115	Retina	UBERON:0000966
Voigt_2019_retina_2_Choriocapillaris	Adult	Sensory system	Voigt_2019_retina_2	Choriocapillaris	Capillary endothelial cell	CL:0002144	Retina	UBERON:0000966
